state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
PA,all-surveys,"Dauphin County Jail, PA",No,15,84,0.17857142857142858
PA,all-surveys,"Lehigh County, PA",No,15,58,0.25862068965517243
TX,all-surveys,"Collin County, TX ",No,15,51,0.29411764705882354
TX,all-surveys,"Collin County, TX ",Not sure,15,51,0.29411764705882354
AL,all-surveys,"Etowah County Jail, AL",Yes,14,32,0.4375
CO,all-surveys,"Weld County, CO",No,14,88,0.1590909090909091
FL,all-surveys,"Lee County, FL",Yes,14,38,0.3684210526315789
FL,all-surveys,"Sarasota County, FL",Not sure,14,48,0.2916666666666667
GA,all-surveys,"Cobb County, GA",Yes,14,33,0.42424242424242425
MA,all-surveys,"Bristol County House of Correction, MA",Not sure,14,44,0.3181818181818182
MI,all-surveys,"Kalamazoo County, MI",Yes,14,20,0.7
NE,all-surveys,"Scotts Bluff County Detention Center, NE",No,14,27,0.5185185185185185
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Yes,14,24,0.5833333333333334
NY,all-surveys,"Monroe County Sheriff's Department, NY",Not sure,14,62,0.22580645161290322
NY,all-surveys,"Ulster County Jail, NY",Yes,14,17,0.8235294117647058
OH,all-surveys,"Mahoning County Justice Center, OH",No,14,75,0.18666666666666668
OH,all-surveys,"Portage County, OH",Yes,14,18,0.7777777777777778
PA,all-surveys,"Fayette County, PA",Yes,14,26,0.5384615384615384
PA,all-surveys,"Franklin County, PA",Yes,14,25,0.56
SC,all-surveys,"Richland County Glenn Detention Center, SC",Yes,14,24,0.5833333333333334
TX,all-surveys,"Johnson County, TX",No,14,38,0.3684210526315789
TX,all-surveys,"McLennan County, TX",Not sure,14,57,0.24561403508771928
UT,all-surveys,"Salt Lake City County, UT",Not sure,14,48,0.2916666666666667
VA,all-surveys,"Chesapeake Correctional Center, VA",Not sure,14,64,0.21875
WA,all-surveys,"Whatcom County, WA - Main Jail",Yes,14,23,0.6086956521739131
WI,all-surveys,"Dodge County, WI",No,14,26,0.5384615384615384
AZ,all-surveys,"Yavapai County Jail, AZ",No,13,22,0.5909090909090909
FL,all-surveys,"Escambia County Jail, FL",Yes,13,35,0.37142857142857144
FL,all-surveys,Santa Rosa County FL,Not sure,13,41,0.3170731707317073
GA,all-surveys,"Columbia County Detention Center, GA",Yes,13,20,0.65
GA,all-surveys,"Dekalb County Jail, GA",Yes,13,34,0.38235294117647056
MA,all-surveys,"Essex County Middleton HOC, MA",Not sure,13,60,0.21666666666666667
MA,all-surveys,"Norfolk County Jail, MA",Yes,13,21,0.6190476190476191
MO,all-surveys,"Cape Girardeau County Jail, MO",Not sure,13,49,0.2653061224489796
NE,all-surveys,"Lancaster County, NE",Not sure,13,40,0.325
NJ,all-surveys,"Camden County Department of Corrections, NJ",Yes,13,17,0.7647058823529411
NY,all-surveys,"Suffolk County, NY ",Not sure,13,51,0.2549019607843137
OR,all-surveys,"Lincoln County, OR",Not sure,13,34,0.38235294117647056
PA,all-surveys,"Lebanon County, PA",Not sure,13,46,0.2826086956521739
PA,all-surveys,"Lehigh County, PA",Not sure,13,58,0.22413793103448276
TX,all-surveys,"Johnson County, TX",Not sure,13,38,0.34210526315789475
TX,all-surveys,"Wichita County, TX ",Yes,13,28,0.4642857142857143
UT,all-surveys,"Beaver County, UT",Yes,13,28,0.4642857142857143
WI,all-surveys,"Rock County, WI",No,13,26,0.5
CA,all-surveys,"Santa Barbara County, CA",No,12,51,0.23529411764705882
CO,all-surveys,"Mesa County, CO",Not sure,12,59,0.2033898305084746
GA,all-surveys,"Bibb County Jail, GA",No,12,38,0.3157894736842105
IL,all-surveys,"Winnebago County, IL",No,12,108,0.1111111111111111
IN,all-surveys,"Boone County, IN",Yes,12,23,0.5217391304347826
KY,all-surveys,"Madison County, KY",Yes,12,18,0.6666666666666666
MA,all-surveys,"Hampshire County, MA",Yes,12,17,0.7058823529411765
MA,all-surveys,"Suffolk County Jail, MA",No,12,60,0.2
MO,all-surveys,"St. Louis County Jail, MO",Not sure,12,74,0.16216216216216217
NJ,all-surveys,"Bergen County, NJ",Not sure,12,35,0.34285714285714286
NM,all-surveys,"Chaves County Adult Detention Center, NM",Not sure,12,28,0.42857142857142855
NY,all-surveys,"Chautauqua County, NY",Yes,12,29,0.41379310344827586
PA,all-surveys,"Lackawana County, PA",No,12,84,0.14285714285714285
VA,all-surveys,"Pamunkey Regional Jail, VA",Yes,12,38,0.3157894736842105
WA,all-surveys,"Spokane County Jail, WA",No,12,72,0.16666666666666666
CA,all-surveys,"Alameda County-Santa Rita, CA",Not sure,11,34,0.3235294117647059
CA,all-surveys,"Santa Barbara County, CA",Not sure,11,51,0.21568627450980393
CO,all-surveys,"Denver County Jail, CO",Not sure,11,103,0.10679611650485436
CO,all-surveys,"Douglas Detention Center, CO",Not sure,11,32,0.34375
FL,all-surveys,"Escambia County Jail, FL",No,11,35,0.3142857142857143
MA,all-surveys,"Worcester County Jail, MA",No,11,51,0.21568627450980393
MT,all-surveys,"Missoula County, MT",Yes,11,22,0.5
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",No,11,67,0.16417910447761194
NY,all-surveys,"Niagara County Correctional Facility, NY",Not sure,11,41,0.2682926829268293
PA,all-surveys,"Allegheny County Jail, PA",Yes,11,16,0.6875
PA,all-surveys,"Berks County Jail, PA",Not sure,11,50,0.22
PA,all-surveys,"Montgomery County Correctional Facility, PA",No,11,56,0.19642857142857142
PA,all-surveys,"Montgomery County Correctional Facility, PA",Not sure,11,56,0.19642857142857142
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Yes,11,42,0.2619047619047619
AL,all-surveys,"Etowah County Jail, AL",No,10,32,0.3125
AL,all-surveys,"Riverside Regional, VA",No,10,25,0.4
CO,all-surveys,"Jefferson County Detention Facility, CO",Not sure,10,48,0.20833333333333334
GA,all-surveys,"Dekalb County Jail, GA",No,10,34,0.29411764705882354
GA,all-surveys,"Dekalb County Jail, GA",Not sure,10,34,0.29411764705882354
GA,all-surveys,"Thomas County Detention, GA",No,10,18,0.5555555555555556
IA,all-surveys,"Polk County, IA ",Yes,10,28,0.35714285714285715
IL,all-surveys,"Kane County, IL",Not sure,10,40,0.25
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",No,10,27,0.37037037037037035
MA,all-surveys,"Berkshire County House of Corrections, MA",Not sure,10,20,0.5
MI,all-surveys,"Kent County, MI ",Not sure,10,72,0.1388888888888889
NC,all-surveys,Durham County NC - Detention Facility,Yes,10,20,0.5
NM,all-surveys,"Chaves County Adult Detention Center, NM",No,10,28,0.35714285714285715
NM,all-surveys,"Eddy County Detention Center, NM",Not sure,10,19,0.5263157894736842
NM,all-surveys,"Sandoval County Detention Center, NM",Yes,10,11,0.9090909090909091
OH,all-surveys,"Summit County, OH",Not sure,10,31,0.3225806451612903
PA,all-surveys,"Cambria County Prison, PA",Yes,10,18,0.5555555555555556
PA,all-surveys,"York County, PA",Yes,10,13,0.7692307692307693
TX,all-surveys,"Johnson County, TX",Yes,10,38,0.2631578947368421
TX,all-surveys,"Potter County Detention, TX",No,10,52,0.19230769230769232
UT,all-surveys,"Salt Lake City County, UT",No,10,48,0.20833333333333334
VA,all-surveys,"Pamunkey Regional Jail, VA",Not sure,10,38,0.2631578947368421
AZ,all-surveys,"Apache County Jail, AZ",No,9,21,0.42857142857142855
AZ,all-surveys,"Apache County Jail, AZ",Yes,9,21,0.42857142857142855
CA,all-surveys,"San Joaquin County Jail, CA",No,9,78,0.11538461538461539
FL,all-surveys,"Escambia County Jail, FL",Not sure,9,35,0.2571428571428571
FL,all-surveys,"Lee County, FL",Not sure,9,38,0.23684210526315788
GA,all-surveys,"Cobb County, GA",No,9,33,0.2727272727272727
GA,all-surveys,"Cobb County, GA",Not sure,9,33,0.2727272727272727
GA,all-surveys,"Forsyth County Detention Center, GA",Yes,9,16,0.5625
IA,all-surveys,"Polk County, IA ",Not sure,9,28,0.32142857142857145
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Yes,9,27,0.3333333333333333
MA,all-surveys,"Middlesex County House of Corrections, MA",No,9,53,0.16981132075471697
MD,all-surveys,"Anne Arundel County, MD",Yes,9,14,0.6428571428571429
NC,all-surveys,Durham County NC - Detention Facility,Not sure,9,20,0.45
NJ,all-surveys,"Atlantic County Justice Facility, NJ",Yes,9,9,1
NY,all-surveys,"Chautauqua County, NY",Not sure,9,29,0.3103448275862069
